Parlay Legs,Total Odds,Parlay EV,Variance
"[('Mikal Bridges', 'points'), ('LeBron James', 'pts_rebs_asts')]",3.61,12.1138,60.99
"[('Mikal Bridges', 'points'), ('Andrew Wiggins', 'pts_rebs_asts')]",3.61,11.2588,42.405
"[('Mikal Bridges', 'points'), ('Andrew Wiggins', 'points')]",3.61,10.8978,38.55
"[('Mikal Bridges', 'points'), ('Austin Reaves', 'pts_rebs_asts')]",3.61,10.8693,70.03
"[('Mikal Bridges', 'points'), ('Luke Kennard', 'pts_rebs_asts')]",3.61,10.8503,44.92
"[('Mikal Bridges', 'points'), ('Terry Rozier', 'pts_rebs_asts')]",3.61,10.6793,49.675
"[('Mikal Bridges', 'points'), ('Brandon Clarke', 'pts_rebs_asts')]",3.61,10.6698,37.325
"[('Mikal Bridges', 'points'), ('Jaylen Wells', 'pts_rebs_asts')]",3.61,10.6698,25.255
"[('Mikal Bridges', 'points'), ('Tyler Herro', 'pts_rebs_asts')]",3.61,10.1093,50.57
"[('Mikal Bridges', 'points'), ('Terry Rozier', 'points')]",3.61,10.0143,47.145
"[('Mikal Bridges', 'points'), ('LeBron James', 'points')]",3.61,9.8148,50.19
"[('Mikal Bridges', 'points'), ('Lauri Markkanen', 'pts_rebs_asts')]",3.61,9.7958,39.29
"[('Mikal Bridges', 'points'), ('Jaren Jackson Jr.', 'pts_rebs_asts')]",3.61,9.5298,75.4
"[('Mikal Bridges', 'points'), ('Klay Thompson', 'points')]",3.61,9.4918,52.19
"[('Mikal Bridges', 'points'), ('Desmond Bane', 'pts_rebs_asts')]",3.61,9.4823,54.325
"[('Mikal Bridges', 'points'), ('Klay Thompson', 'pts_rebs_asts')]",3.61,9.4443,54.665
"[('Mikal Bridges', 'points'), ('Luke Kennard', 'points')]",3.61,9.3873,41.055
"[('Mikal Bridges', 'points'), ('Austin Reaves', 'points')]",3.61,9.3683,64.125
"[('Mikal Bridges', 'points'), ('Zach LaVine', 'pts_rebs_asts')]",3.61,9.2923,39.445
"[('LeBron James', 'pts_rebs_asts'), ('Andrew Wiggins', 'pts_rebs_asts')]",3.61,9.1783,60.495
